שם             	ענף בבורסה                                	כתובת                                      	טלפון       	פקס        	אתר הבית                       	דואר אלקטרוני                     	שם מלא                                      	מספר מנפיק	מספר תאגיד
עמיר שיווק     	ריאלי - מסחר ושרותים - מסחר               	צבי הנחל פינת הראשונים, עמק חפר            	04-6120200  	04-6322255 	www.amir-agricul.co.il         	amir@amir-agricul.co.il           	עמיר שיווק והשקעות בחקלאות בעמ              	1232      	513615286
ערד            	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	בית ישרס, הר סיני 3, תל-אביב               	03-7130200  	03-5606955 	                               	toker@malamteam.com               	ערד השקעות ופתוח תעשיה בעמ                  	731       	520025198
עשות           	ריאלי - תעשיה - מתכת ומוצרי בניה          	עזרא יסודי 2, אזור תעשיה, אשקלון           	08-6721606  	08-6755198 	www.ashot.co.il                	eli.zucker@ashot.co.il            	עשות - אשקלון תעשיות בעמ                    	312       	520037581
פאלאס תעשיות   	ריאלי - תעשיה - כימיה, גומי ופלסטיק       	אצל היכל הנר, החורש 15, באר שבע            	08-6250000  	08-6250001 	www.p-i.co.il                  	maya@p-i.co.il                    	פאלאס תעשיות (פי.איי.) בעמ                  	489       	520039835
פוטומדקס       	הייטק - ביומד - מכשור רפואי               	שבלת ושות' עוד,ברקוביץ 4, תל אביב          	03-7778343  	03-7778444 	www.photomedex.com             	info@photomedex.com               	פוטומדקס. אינק                              	1599      	0
פולאר השקעות   	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	מגדלי אור,הנחושת 4,ק' 7, תל-אביב           	03-7650801  	03-6440662 	                               	adi@pil.co.il                     	פולאר השקעות בעמ                            	698       	520025057
פולאר תקשורת   	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	בית פלטינום, הארבעה 21, תל-אביב            	03-6845500  	03-6845550 	                               	adi@leader.co.il                  	פולאר תקשורת בעמ                            	1087      	520044421
פוליגון        	ריאלי - נדלן ובינוי - נדלן ובינוי         	גרניט 8, פתח-תקוה                          	03-9229225  	03-9229255 	                               	amir@polygon.co.il                	פוליגון נדלן בעמ                            	745       	520029562
פולירם         	ריאלי - תעשיה - כימיה, גומי ופלסטיק       	מושב רם און, דנ גלבוע                      	04-6599991  	04-6499763 	www.polyram.co.il              	igal@polyram.co.il                	פולירם (1999) בעמ                           	1209      	512776964
פועלים         	פיננסי - בנקים - בנקים                    	יהודה הלוי 63, תל-אביב                     	03-5673333  	03-5674576 	www.bankhapoalim.co.il         	yoram.weissbrem@mailpoalim.co.il  	בנק הפועלים בעמ                             	662       	520000118
פועלים אי.בי.אי	פיננסי - שרותים פיננסיים - שרותים פיננסיים	מגדל שלום, אחד העם 9, ק' 26, תל-אביב       	03-5193434  	03-5175414 	                               	hitum@ibi.co.il                   	פועלים אי.בי.אי.-ניהול וחיתום בעמ           	1106      	511819617
פועלים הנפקות  	פיננסי - בנקים - בנקים                    	שד' רוטשילד 50, תל-אביב                    	03-7144669  	03-7145424 	                               	zali.guter@bnhp.co.il             	הפועלים הנפקות בעמ                          	194       	520032640
פוקס           	ריאלי - תעשיה - אופנה והלבשה              	איירפורט-סיטי, חרמון 6, נתבג               	03-9050100  	03-9050200 	www.fox.co.il                  	shahar@fox.co.il                  	פוקס-ויזל בעמ                               	1140      	512157603
פורמולה ויז'ן  	הייטק - טכנולוגיה - תוכנה ואינטרנט        	השקמה 1, סביון                             	03-7343100  	03-7367770 	www.formulavision.com          	ronnen@formulavision.com          	פורמולה ויז'ן טכנולוג'יס (אפ.וי.טי) בעמ     	169       	520034919
פורמולה מערכות 	הייטק - טכנולוגיה - שרותי מידע            	הפלדה 5, אור יהודה                         	03-5389487  	03-5389625 	www.formulasystems.com         	halely@formula.co.il              	פורמולה מערכות (1985)בעמ                    	256       	520036690
פז נפט         	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	יורו-פארק בנין הולנד 4, קיבוץ יקום         	09-8631103  	09-8931320 	www.paz.co.il                  	irisp@paz.co.il                   	פז חברת הנפט בעמ                            	1363      	510216054
פטרוכימיים     	ריאלי - תעשיה - כימיה, גומי ופלסטיק       	בית אמות משפט, שאול המלך8, תל-אביב         	03-6955559  	03-6964111 	www.israel-petro.co.il         	tzuki@israel-petro.co.il          	מפעלים פטרוכימיים בישראל בעמ                	756       	520029315
פיבי           	פיננסי - בנקים - בנקים                    	ה' באייר 4, תל-אביב                        	03-6950649  	03-6091753 	www.fibi.co.il                 	kobi@fibiholdings.co.il           	פ.י.ב.י. אחזקות בעמ                         	763       	520029026
פייטון         	ריאלי - תעשיה - חשמל                      	העבודה 3, נס ציונה                         	03-9616601  	03-9616677 	www.paytongroup.com            	michal@paytongroup.com            	פייטון תעשיות בעמ                           	412       	520038951
פיסיבי טכנ     	הייטק - טכנולוגיה - אלקטרוניקה ואופטיקה   	תד 631, אזור תעשיה ישן, מגדל העמק          	04-6544300  	04-6542764 	www.pcb.co.il                  	yotams@pcb.co.il                  	פי.סי.בי. טכנולוגיות בעמ                    	1221      	511888356
פלאזה סנטרס    	ריאלי - נדלן ובינוי - נדלן ובינוי         	241 KEIZERSGRACHT, AMSTERDAM               	31203449560 	31203449561	www.plazacenters.com           	beaholding@planet.nl              	פלאזה סנטרס אן.וי                           	1476      	0
פלוריסטם       	הייטק - ביומד - ביוטכנולוגיה              	מרכז תעשיות מדע בניין 20, חיפה             	074-7107171 	074-7107172	www.pluristem.com              	info@pluristem.com                	פלוריסטם תרפיוטיקס אינק.                    	1569      	0
פלסאון תעשיות  	ריאלי - תעשיה - כימיה, גומי ופלסטיק       	קיבוץ מעגן מיכאל, דנ מנשה                  	04-6394711  	04-6243227 	www.plasson.com                	nira@plasson.co.il                	פלסאון תעשיות בעמ                           	1057      	520042912
פלסטו שק       	ריאלי - תעשיה - כימיה, גומי ופלסטיק       	ליסבון 12, שדרות                           	08-6624333  	08-6624354 	www.plasto-sac.co.il           	manage@cargal.co.il               	פלסטו-שק בעמ                                	727       	520041161
פלסטופיל       	ריאלי - תעשיה - כימיה, גומי ופלסטיק       	                                           	04-9598800  	04-9894250 	www.plastopil.com              	moshe_z@plastopil.com             	חברת פלסטופיל הזורע בעמ                     	1240      	513681247
פלרם           	ריאלי - תעשיה - כימיה, גומי ופלסטיק       	קיבוץ רמת-יוחנן, דאר כפר מכבי              	04-8459900  	04-8444012 	www.palram.com                 	ravit@palram.com                  	פלרם (1990) תעשיות בעמ                      	644       	520039843
פמס            	ריאלי - תעשיה - אופנה והלבשה              	אימבר 27, קרית-אריה, פתח-תקוה              	03-9223206  	03-9225414 	www.fms.co.il                  	fms@inter.net.il                  	מפעלי פ.מ.ס. מיגון בעמ                      	315       	520037284
פניקס גיוס הון 	פיננסי - ביטוח - ביטוח                    	דרך השלום 53, גבעתיים                      	03-7332991  	03-5717142 	                               	orlyk2@fnx.co.il                  	הפניקס גיוסי הון (2009)בעמ                  	1527      	514290345
פניקס(ש)       	פיננסי - ביטוח - ביטוח                    	דרך השלום 53, גבעתיים                      	03-7332997  	03-5734516 	www.fnx.co.il                  	orlyk2@phoenix.co.il              	הפניקס אחזקות בעמ                           	767       	520017450
פסגות דולרית   	מכשירים פיננסים - תעודות סל - תעודות סל   	פסגות בית השק',אחד העם 14, תל אביב         	073-7968848 	03-6178471 	www.psagot.co.il               	gils@psagot.co.il                 	פסגות התחייבות דולרית סחירה בעמ             	1158      	513429266
פסגות מדדים    	מכשירים פיננסים - תעודות סל - תעודות סל   	פסגות בית השק',אחד העם 14, תל אביב         	073-7968848 	03-6178471 	www.psagot.co.il               	gils@psagot.co.il                 	פסגות תעודות סל מדדים בעמ                   	1446      	513952457
פסגות מוצרי מדד	מכשירים פיננסים - תעודות סל - תעודות סל   	פסגות בית השק',אחד העם 14, תל-אביב         	073-7968848 	03-6178471 	www.psagot.co.il               	gils@psagot.co.il                 	פסגות מוצרי מדדים בעמ                       	1249      	513665661
פסגות מוצרי מטח	מכשירים פיננסים - תעודות סל - תעודות סל   	פסגות בית השק',אחד העם 14, תל אביב         	073-7968848 	03-6178471 	www.psagot.co.il               	gils@psagot.co.il                 	פסגות מוצרי מטח בעמ                         	1296      	513731299
פסגות מטבעות   	מכשירים פיננסים - תעודות סל - תעודות סל   	פסגות בית השק',אחד העם 14, תל אביב         	03-7968848  	03-7968628 	www.psagot.co.il               	gils@psagot.co.il                 	פסגות מטבעות בעמ                            	1512      	513967018
פסגות מטח      	מכשירים פיננסים - תעודות סל - תעודות סל   	פסגות בית השק',אחד העם 14, תל-אביב         	073-7968848 	03-6178471 	www.psagot.co.il               	gils@psagot.co.il                 	פסגות תעודות התחייבות מטח בעמ               	1167      	513464289
פסגות רבעוני   	מכשירים פיננסים - תעודות סל - תעודות סל   	פסגות בית השק',אחד העם 14, תל אביב         	073-7968848 	03-6178471 	www.psagot.co.il               	gils@psagot.co.il                 	פסגות רבעוני בעמ                            	1207      	513559732
פסגות תעודות סל	מכשירים פיננסים - תעודות סל - תעודות סל   	פסגות בית השק',אחד העם 14, תל-אביב         	073-7968848 	03-6178471 	www.psagot.co.il               	gils@psagot.co.il                 	פסגות תעודות סל בעמ                         	1108      	512894510
פרוטאולוג'יקס  	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	אצל אפסווינג,ז'בוטינסקי 7, רמת גן          	03-6114922  	03-6114923 	                               	eran@zm-financial.co.il           	פרוטאולוג'יקס בעמ                           	1532      	512781386
פרוטליקס       	הייטק - ביומד - ביוטכנולוגיה              	סנונית 2, פארק המדע, כרמיאל                	04-9889488  	04-9889489 	www.protalix.com               	yossim@protalix.com               	פרוטליקס ביות'רפיוטיקס אינק                 	1554      	0
פרוטרום        	ריאלי - תעשיה - מזון                      	השיש 25, חיפה                              	04-8462462  	04-8722517 	www.frutarom.com               	tmirsky@frutarom.com              	פרוטרום תעשיות בעמ                          	1037      	520042805
פרופיט(ש)      	ריאלי - נדלן ובינוי - נדלן ובינוי         	תד 2004, הרצליה                            	03-7518115  	03-7517538 	www.profit1.co.il              	mira@profit1.co.il                	פרופיט תעשיות בניה בעמ                      	549       	520040650
פרוקוגניה      	הייטק - טכנולוגיה - קלינטק                	התדהר 16, רעננה                            	09-7442440  	09-7442446 	                               	uri@cfo.co.il                     	פרוקוגניה (ישראל) בעמ                       	1405      	512882747
פרטנר          	ריאלי - מסחר ושרותים - תקשורת ומדיה       	ת.ד. 435, ראש העין                         	054-7814190 	054-7814193	www.orange.co.il               	executiveoffices@orange.co.il     	חברת פרטנר תקשורת בעמ                       	2095      	520044314
פריגו          	ריאלי - תעשיה - כימיה, גומי ופלסטיק       	פישר בכר חן דניאל פריש 3, תל אביב          	03-6944194  	03-6912948 	www.perrigo.com                	                                  	פריגו קומפני                                	1612      	0
פרידנזון(ש)    	ריאלי - מסחר ושרותים - שרותים             	תד 10441, מפרץ חיפה                        	04-8416266  	04-8418864 	www.fridenson.co.il            	asaf@fridenson.co.il              	פרידנזון שירותים לוגיסטיים בעמ              	1403      	510712466
פריון נטוורק   	הייטק - טכנולוגיה - תוכנה ואינטרנט        	הרוקמים 26, חולון                          	073-3981000 	03-6445502 	www.perion.com                 	investors@perion.com              	פריון נטוורק בעמ                            	2240      	512849498
פריורטק        	הייטק - טכנולוגיה - אלקטרוניקה ואופטיקה   	א.ת. רמת גבריאל, תד 631, מגדל העמק         	04-6544300  	04-6544322 	www.priortech.co.il            	yotams@priortech.co.il            	פריורטק בעמ                                 	328       	520037797
פרשקובסקי      	ריאלי - נדלן ובינוי - נדלן ובינוי         	חלוצי יסוד המעלה 7, ראשון לציון            	03-9561889  	03-9561831 	www.ashi.co.il                 	ashi@ashi.co.il                   	פרשקובסקי השקעות ובניין בעמ                 	1330      	513817817
צאם            	ריאלי - תעשיה - מזון                      	הברזל 1, תל אביב                           	04-9114450  	04-6987494 	www.cham.co.il                 	a.yechiel@cham.co.il              	צאם מוצרי מזון (ישראל) בעמ                  	342       	520037813
צור            	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	אפעל 35, פתח-תקוה                          	03-9166666  	03-9191911 	www.zur-shamir.com             	info@zur-shamir.com               	צור שמיר אחזקות בעמ                         	730       	520025586
צירון          	ריאלי - מסחר ושרותים - שרותים             	דרך בן גוריון,מגדלי ויטה, בני ברק          	03-6166216  	03-6166258 	                               	omer@ostro-cpa.co.il              	בתי זיקוק צירון בעמ                         	456       	520038878
צמח המרמן      	ריאלי - נדלן ובינוי - נדלן ובינוי         	התעשייה 47, נשר                            	04-9049999  	04-8214724 	www.zhg.co.il                  	info@zhg.co.il                    	צ.מ.ח המרמן בעמ                             	1442      	512531203
צמיחה(ש)       	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	אצל אפסווינג,ז'בוטינסקי 7, רמת-גן          	03-6114922  	03-6114923 	                               	eran@zm-financial.co.il           	צמיחה אינווסטמנט האוס בעמ                   	361       	520038175
צנורות המזהת   	ריאלי - תעשיה - מתכת ומוצרי בניה          	תד 62, רמלה                                	08-9274338  	08-9229783 	www.metco.co.il                	metco@metco.co.il                 	צנורות המזרח התיכון בעמ                     	454       	520025016
צרפתי          	ריאלי - נדלן ובינוי - נדלן ובינוי         	בית צרפתי, הרצל 91, ראשון-לציון            	03-9673336  	03-9660453 	www.zarfati-zvi.com            	avi@zarfat.co.il                  	צבי צרפתי ובניו השקעות ובנין (1992) בעמ     	425       	520039090
קבוצת נץ       	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	דרך מנחם בגין 125, תל אביב                 	03-7362511  	03-7362505 	                               	rinat@netzgroup.com               	קבוצת נץ בעמ                                	455       	520039389
קדימהסטם       	הייטק - ביומד - ביוטכנולוגיה              	ספיר פנחס 7, נס ציונה                      	073-7971600 	08-9100698 	www.kadimastem.com             	y.feinberg@kadimastem.com         	קדימהסטם בעמ                                	1606      	514192558
קו מנחה        	ריאלי - מסחר ושרותים - תקשורת ומדיה       	מגדל קרסו, יד חרוצים 12, תל-אביב           	03-6388222  	03-6388207 	www.bizportal.co.il            	tamir@bizpotal.co.il              	קו מנחה שרותי מידע ותקשורת בעמ              	271       	520036997
קווינקו        	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	מנחם בגין 11, רמת גן                       	03-7566555  	03-7566500 	www.queenco.com                	aireh@queenco.co.il               	(י.ז) קווינקו בעמ                           	386       	520038266
קווליטאו       	הייטק - טכנולוגיה - מוליכים למחצה         	גולדה מאיר 7, נס-ציונה                     	08-9404427  	08-9404516 	www.qualitau.com               	gadik@qualitau.co.il              	קווליטאו בעמ                                	1093      	511896540
קולפלנט אחזקות 	הייטק - ביומד - ביוטכנולוגיה              	ספיר 3, נס ציונה                           	073-2325600 	073-2325602	www.collplant.com              	eran@collplant.com                	קולפלנט אחזקות בעמ                          	496       	520039785
קומפיוגן       	הייטק - ביומד - ביוטכנולוגיה              	פנחס רוזן 72, תל-אביב                      	03-7658585  	03-7658555 	www.cgen.com                   	tamif@compugen.co.il              	קומפיוגן בעמ                                	2188      	511779639
קליל           	ריאלי - תעשיה - מתכת ומוצרי בניה          	אזור תעשיה מזרחי, תד 659, כרמיאל           	04-9900200  	04-9900255 	www.klil.co.il                 	yoni@klil.co.il                   	קליל תעשיות בעמ                             	797       	520032442
קלע השקעות(ש)  	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	אצל רוביקון,יגאל אלון 98, תל אביב          	03-6959763  	03-6914963 	                               	elio@hands-on4you.com             	קלע - קרן להשקעות בעמ                       	1071      	520043860
קמהדע          	הייטק - ביומד - ביוטכנולוגיה              	ספיר 7, פארק המדע, נס ציונה                	08-9406472  	08-9406473 	www.kamada.com                 	ir@kamada.com                     	קמהדע בעמ                                   	1267      	511524605
קמור           	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	דרך מנחם בגין 23, תל-אביב                  	03-6899010  	03-6874748 	                               	kamor@kamor-group.co.il           	קמור בעמ                                    	132       	520034117
קמטק           	הייטק - טכנולוגיה - מוליכים למחצה         	אזור תעשיה רמת גבריאל, תד 544, מגדל העמק   	04-6048100  	04-6048300 	www.camtek.co.il               	ronitd@camtek.co.il               	קמטק בעמ                                    	2174      	511235434
קמן קפיטל      	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	ארז רוזנבוך,אבא הלל 12, רמת גן             	03-5228833  	03-5229933 	                               	elisheva18@gmail.com              	קמן קפיטל בעמ                               	1485      	513979906
קנון הולדינגס  	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	גורניצקי, שד' רוטשילד 45, תל-אביב          	03-7109191  	03-5606555 	                               	                                  	קנון הולדינגס                               	1635      	0
קסטרו          	ריאלי - תעשיה - אופנה והלבשה              	אורט ישראל 31, בת-ים                       	03-5554555  	03-5554553 	www.castro.co.il               	mgr@castro.co.il                  	קסטרו מודל בעמ                              	280       	520037649
קסם ג'מבו      	מכשירים פיננסים - תעודות סל - תעודות סל   	אפעל 25, פתח תקוה                          	03-7536890  	03-7532030 	www.ksmc.co.il                 	pniyot.kesem@xnes.co.il           	ק.ס.ם ג'מבו בעמ                             	1217      	513516161
קסם דולר       	מכשירים פיננסים - תעודות סל - תעודות סל   	אפעל 25, פתח תקוה                          	03-7536890  	03-7532030 	www.ksmc.co.il                 	ahiad.levy@xnes.co.il             	קסם דולר בעמ                                	1179      	513509521
קסם מטבעות     	מכשירים פיננסים - תעודות סל - תעודות סל   	אפעל 25, פתח תקוה                          	03-7536890  	03-7532030 	www.ksmc.co.il                 	pniyot.kesem@xnes.co.il           	קסם מטבעות בעמ                              	1342      	513675280
קסם סל ומוצרים 	מכשירים פיננסים - תעודות סל - תעודות סל   	אפעל 25, פתח תקוה                          	03-7536890  	03-7532030 	www.ksmc.co.il                 	pniyot.kesem@xnes.co.il           	קסם תעודות סל ומוצרי מדדים בעמ              	1224      	513502211
קסניה          	הייטק - טכנולוגיה - השקעות בהייטק         	יגאל אלון 76, תל אביב                      	09-9575259  	02-6257083 	www.xenia.co.il                	info@xenia.co.il                  	קסניה ונצ'ר קפיטל בעמ                       	1364      	513813162
קפיטל פוינט    	הייטק - ביומד - השקעות במדעי החיים        	מגדלי עזריאלי 1, ק' 22, תל-אביב            	03-6070320  	03-6070323 	www.capitalpoint.co.il         	inbal@capitalpoint.co.il          	קפיטל פוינט בעמ                             	1325      	512950320
קרדן אן.וי.    	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	אצל קרדן,דרך מנחם בגין 154,ק'4, תל-אביב    	03-6083444  	03-6083434 	www.kardan.com                 	wayelet@kardan.com                	קרדן אן.וי.                                 	1154      	0
קרדן יזמות     	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	דרך מנחם בגין 154, תל אביב                 	03-6083444  	03-6083434 	www.kardan.com                 	wayelet@kardan.com                	קרדן יזמות (2011) בעמ                       	1592      	514630011
קרדן ישראל     	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	בית קרדן, דרך מנחם בגין 154, תל-אביב       	03-6083444  	03-6083434 	www.kardan.com                 	info@kardan.com                   	קרדן ישראל בעמ                              	121       	520033457
קרדן נדלן      	ריאלי - נדלן ובינוי - נדלן ובינוי         	דרך מנחם בגין 154, תל אביב                 	03-6891200  	03-6911661 	www.kardan-nadlan.co.il        	eran@kardan-nadlan.co.il          	קרדן נדלן יזום ופיתוח בעמ                   	1083      	520041005
קרדן רכב       	ריאלי - מסחר ושרותים - שרותים             	ברוך הירש 14, בני-ברק                      	03-6170050  	03-5788480 	www.avis.co.il                 	rent@avis.co.il                   	קרדן רכב בעמ                                	459       	520039249
קרור           	ריאלי - תעשיה - מזון                      	לינקולן 20, תל-אביב                        	03-5689200  	03-5689222 	www.kerur-holdings.co.il       	lior@jafora-tabori.co.il          	קרור אחזקות בעמ                             	621       	520001546
קרסו מוטורס    	ריאלי - מסחר ושרותים - מסחר               	מרכז לוגיסטי פארק ראם, בני עי'ש            	08-8631111  	08-8631556 	                               	nirfa@carasso.co.il               	קרסו מוטורס בעמ                             	1585      	514065283
קשרי תעופה     	ריאלי - מסחר ושרותים - מלונאות ותיירות    	נירים 2, תל-אביב                           	03-5209000  	03-6388811 	www.kishrey-teufa.co.il        	amit@aviation-links.co.il         	קשרי תעופה בעמ                              	413       	520039009
ר.ה. טכנולגיות 	הייטק - טכנולוגיה - אלקטרוניקה ואופטיקה   	אזור תעשיה הר יונה, תד 740, נצרת עילית     	04-6089000  	04-6554998 	www.rh.co.il                   	yacov@rh.co.il                    	ר.ה. טכנולוגיות בעמ                         	1125      	512970534
ראלקו          	ריאלי - מסחר ושרותים - מסחר               	המצודה 31, אזור                            	03-6508282  	03-6508281 	www.ralco.co.il                	elc@ralco.co.il                   	ראלקו סוכנויות בעמ                          	393       	520038183
רבד            	ריאלי - נדלן ובינוי - נדלן ובינוי         	בית פלטינום, הארבעה 21, תל-אביב            	03-6236161  	03-6236162 	                               	ravad@ravad.co.il                 	רבד בעמ                                     	526       	520040148
רבוע כחול נדלן 	ריאלי - נדלן ובינוי - נדלן ובינוי         	העמל 2, ראש העין                           	03-9282675  	03-9282402 	www.bsre.co.il                 	michalr@bsre.co.il                	רבוע כחול נדלן בעמ                          	1349      	513765859
רבל            	ריאלי - תעשיה - כימיה, גומי ופלסטיק       	הקוצר 11, באר שבע                          	08-9521100  	08-9521019 	www.raval.co.il                	raval@raval.co.il                 	רבל אי.סי.אס. בעמ                           	1436      	513506329
רגנסי(ש)       	ריאלי - נדלן ובינוי - נדלן ובינוי         	קבוצת חג'ג',מגדלי עזריאלי, תל אביב         	03-6081936  	03-6952958 	                               	office@hagag-group.co.il          	מלון רג'נסי ירושלים בעמ                     	551       	520040288
רדהיל ביופארמה 	הייטק - ביומד - ביוטכנולוגיה              	בנין פלטינום, הארבעה 21, תל אביב           	03-5413131  	03-5413144 	www.redhillbio.com             	ori@redhillbio.com                	רדהיל ביופארמה בעמ                          	1573      	514304005
רובוגרופ       	הייטק - טכנולוגיה - אלקטרוניקה ואופטיקה   	המלאכה 13, פארק אפק, ראש-העין              	03-9004111  	03-9030994 	www.robo-group.com             	info@robo-group.com               	רובוגרופ ט.א.ק בעמ                          	266       	520034984
רוזבאד(ש)      	ריאלי - נדלן ובינוי - נדלן ובינוי         	בית אפריקה, ק' 10, אחד העם 14, תל-אביב     	03-7961636  	03-7961637 	                               	rosebud@rosebud-m.co.il           	רוזבאד נדלן בעמ                             	192       	520035684
רוטקס(ש)       	ריאלי - תעשיה - אופנה והלבשה              	הסדנא 6, כפר סבא                           	09-7643305  	09-7669544 	www.gibor.co.il                	uziba@gibor.co.il                 	רוטקס (1980) בעמ                            	1440      	510844913
רוטשטיין       	ריאלי - נדלן ובינוי - נדלן ובינוי         	הסיבים 49, פתח תקוה                        	073-2555444 	073-2555445	www.rotshtein.co.il            	royi@rotshtein.co.il              	רוטשטיין נדלן בעמ                           	539       	520039959
ריט 1          	ריאלי - נדלן ובינוי - נדלן ובינוי         	הנחושת 6, תל אביב                          	03-7686700  	03-7686710 	www.reit1.co.il                	michalh@reit1.co.il               	ריט 1 בעמ                                   	1357      	513821488
רימוני         	ריאלי - תעשיה - כימיה, גומי ופלסטיק       	שנקר 4, קרית-אריה, פתח-תקוה                	03-9221562  	03-9248569 	www.rimoni-ind.com             	liora@rimoni-ind.com              	רימוני תעשיות בעמ                           	76        	520041823
רמי לוי        	ריאלי - מסחר ושרותים - מסחר               	האומן 15, ירושלים                          	02-6481843  	02-6331274 	www.rami-levy.co.il            	inbal@rami-levy.co.il             	רשת חנויות רמי לוי שיווק השיקמה 2006 בעמ    	1445      	513770669
רפק            	ריאלי - מסחר ושרותים - שרותים             	תד 3805, כפר נטר                           	03-6979700  	03-6979701 	www.rapac.co.il                	info@rapac.co.il                  	רפק תקשורת ותשתיות בעמ                      	769       	520029505
רציו יהש       	ריאלי - חיפושי נפט וגז - חיפושי נפט וגז   	יהודה הלוי 85, תל-אביב                     	03-5661338  	03-5661280 	                               	lrotlevy@netvision.net.il         	רציו חיפושי נפט (1992) - שותפות מוגבלת      	394       	550012777
רציו מימון     	ריאלי - חיפושי נפט וגז - חיפושי נפט וגז   	                                           	            	           	                               	                                  	רציו חיפושי נפט (מימון) בעמ                 	1625      	515060044
רקח            	ריאלי - תעשיה - כימיה, גומי ופלסטיק       	המלאכה 30, חולון                           	03-5581233  	03-5565919 	www.rekah.co.il                	rite@internet-zahav.net.il        	רקח תעשיה פרמצבטית בעמ                      	1033      	520042003
רשי            	ריאלי - נדלן ובינוי - נדלן ובינוי         	תד 12835, הרצליה                           	09-9725650  	09-9725651 	                               	officeg@rka.co.il                 	י.רשי בעמ                                   	1449      	513704114
שופרסל         	ריאלי - מסחר ושרותים - מסחר               	תד 15103, ראשון-לציון                      	03-9481521  	03-9480917 	www.shufersal.co.il            	aranm@shufersal.co.il             	שופרסל בעמ                                  	777       	520022732
שטראוס גרופ    	ריאלי - תעשיה - מזון                      	הסיבים 49, פתח תקוה                        	03-6752499  	03-6752279 	www.strauss-group.com          	mike.avner@strauss-group.com      	שטראוס גרופ בעמ                             	746       	520003781
שטרן           	ריאלי - נדלן ובינוי - נדלן ובינוי         	יוחנן הסנדלר 20, חיפה                      	04-8405090  	04-8402091 	www.stern.co.il                	stern@stern.co.il                 	שטרן גרופ בעמ                               	1439      	513910109
שיכון ובינוי   	ריאלי - נדלן ובינוי - נדלן ובינוי         	הירדן 1א, איירפורט סיטי, לוד               	03-6301111  	03-6301595 	www.shikunbinui.co.il          	hezi_ka@shikunbinui.com           	שיכון ובינוי בעמ                            	1068      	520036104
שלאג תעשיות    	ריאלי - תעשיה - עץ, נייר ודפוס            	ד.נ. גליל עליון, קיבוץ שמיר                	04-6947856  	04-6949278 	www.shalag.co.il               	shalag@shalag.co.il               	שלאג תעשיות בעמ                             	1198      	513507574
שלמה החזקות    	ריאלי - מסחר ושרותים - שרותים             	קרית שלמה, ניר צבי                         	08-9191111  	08-9190988 	www.shlomo.co.il               	management@shlomo.co.il           	ש.שלמה החזקות בעמ                           	141       	520034372
שלמה נדלן      	ריאלי - נדלן ובינוי - נדלן ובינוי         	קרית שלמה, ניר צבי                         	08-9191600  	08-9190976 	                               	oferg@shlomogroup.co.il           	ש.י.ר שלמה נדלן בעמ                         	1496      	513957472
שמן נפט וגז    	ריאלי - חיפושי נפט וגז - חיפושי נפט וגז   	יצחק שדה 17, תל אביב                       	03-7615000  	03-7615020 	                               	office@shemenoil.com              	שמן משאבי נפט וגז בעמ                       	1595      	514532456
שמן תעשיות     	ריאלי - תעשיה - מזון                      	תד 136, חיפה                               	04-8604620  	04-8622555 	www.shemen.co.il               	haim.lnselberg@shemen.co.il       	שמן תעשיות בעמ                              	634       	520023474
שניב           	ריאלי - תעשיה - עץ, נייר ודפוס            	בצלאל 35, אופקים                           	08-9908247  	08-9960859 	www.shaniv.co.il               	eyal.l@shaniv.com                 	שניב תעשיות נייר בעמ                        	1025      	520041732
שנפ            	ריאלי - תעשיה - חשמל                      	שכטרמן 22, נתניה                           	09-8606155  	09-8619069 	www.schnapp.co.il              	sarit@schnapp.co.il               	מפעלי ע. שנפ ושות' בעמ                      	1427      	512665373
שפיר הנדסה     	ריאלי - תעשיה - מתכת ומוצרי בניה          	ברקת 12, פתח תקוה                          	03-9169500  	03-9169600 	www.shapir.co.il               	amirs@shapir.co.il                	שפיר הנדסה ותעשיה                           	1633      	514892801
שפע ימים       	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	אצל שפע ימים, הרצל 90, נתניה               	09-8331999  	09-8619171 	www.shefayamim.com             	gold770@netvision.net.il          	שפע ימים בעמ                                	341       	520037763
תאת טכנולוגיות 	ריאלי - תעשיה - חשמל                      	תד 80, גדרה                                	08-8628500  	08-8621511 	www.tat.co.il                  	tat@tat.co.il                     	תאת טכנולוגיות בעמ                          	2110      	520035791
